DNA_Accession,Lineage,SampleID
ERR2704704,1,N0157
ERR2704685,1,N0157
ERR2704680,1,N0072
ERR3183990,1,N0153
ERR2704702,2,N0145
ERR2704701,2,N0145
ERR2704683,2,N0145
ERR2704677,2,N0052
ERR2704699,2,N0052
ERR2704698,2,N0052
ERR2704676,2,N0031
ERR2704703,2,N0155
ERR2704684,2,N0155
ERR2704698,3,N0004
ERR2704675,3,N0004
ERR2704693,3,N1274
ERR2704678,3,N0054
ERR2704705,4,N1216
ERR2704689,4,N1216
ERR2704682,4,N0136
ERR2704700,4,N0136
ERR2704709,4,N1283
ERR2704694,4,N1283
ERR3183992,5,N1063
ERR2704708,5,N1272
ERR2704707,5,N1272
ERR2704692,5,N1272
ERR2704691,5,N1272
ERR2704686,5,N1176
ERR2704681,6,N0091
ERR2704688,6,N1202
ERR3183991,6,N1177