RNA_Accession,Lineage,SampleID
ERR1140772,1,N0157
ERR1140791,1,N0157
ERR1140766,1,N0072
ERR1140785,1,N0072
ERR1140770,1,N0153
ERR1140789,1,N0153
ERR1140769,2,N0145
ERR1140788,2,N0145
ERR1140764,2,N0052
ERR1140783,2,N0052
ERR1140763,2,N0031
ERR1140782,2,N0031
ERR1140771,2,N0155
ERR1140790,2,N0155
ERR1140762,3,N0004
ERR1140781,3,N0004
ERR1140779,3,N1274
ERR1140798,3,N1274
ERR1140765,3,N0054
ERR1140784,3,N0054
ERR1140777,4,N1216
ERR1140796,4,N1216
ERR1140768,4,N0136
ERR1140787,4,N0136
ERR1140780,4,N1283
ERR1140799,4,N1283
ERR1140773,5,N1063
ERR1140792,5,N1063
ERR1140778,5,N1272
ERR1140797,5,N1272
ERR1140774,5,N1176
ERR1140793,5,N1176
ERR1140767,6,N0091
ERR1140786,6,N0091
ERR1140776,6,N1202
ERR1140795,6,N1202
ERR1140775,6,N1177
ERR1140794,6,N1177